year,date,country,occasion,speaker_role,speaker_name,lix
2005,2005-12-25,Sweden,Christmas,Monarch,Carl Gustav,42
2006,2006-12-25,Sweden,Christmas,Monarch,Carl Gustav,42
2007,2007-12-25,Sweden,Christmas,Monarch,Carl Gustav,37
2008,2008-12-25,Sweden,Christmas,Monarch,Carl Gustav,37
2009,2009-12-25,Sweden,Christmas,Monarch,Carl Gustav,38
2010,2010-12-25,Sweden,Christmas,Monarch,Carl Gustav,40
2011,2011-12-25,Sweden,Christmas,Monarch,Carl Gustav,40
2012,2012-12-25,Sweden,Christmas,Monarch,Carl Gustav,32
2013,2013-12-25,Sweden,Christmas,Monarch,Carl Gustav,35
2014,2014-12-25,Sweden,Christmas,Monarch,Carl Gustav,30
2015,2015-12-25,Sweden,Christmas,Monarch,Carl Gustav,36
2016,2016-12-25,Sweden,Christmas,Monarch,Carl Gustav,33
2017,2017-12-25,Sweden,Christmas,Monarch,Carl Gustav,34
2018,2018-12-25,Sweden,Christmas,Monarch,Carl Gustav,37
2019,2019-12-25,Sweden,Christmas,Monarch,Carl Gustav,37
2020,2020-12-25,Sweden,Christmas,Monarch,Carl Gustav,29
2021,2021-12-25,Sweden,Christmas,Monarch,Carl Gustav,36
2022,2022-12-25,Sweden,Christmas,Monarch,Carl Gustav,33
2023,2023-12-25,Sweden,Christmas,Monarch,Carl Gustav,33
